grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,curso_id,curso_busca,cidade_busca,uf_busca,cidade_filtro,universidade_nome,campus_nome,campus_id,nome,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
Bacharelado,Noturno,1048.0,10,10,,,65794611581653,Engenharia Civil,Niteroi,RJ,MzMwNjAxODAzMzAy,Centro Universitário Anhanguera de Niterói - Unian-Rj - UNIAN-RJ,UNIDADE SEDE - Centro,657946,Engenharia Civil,630.98,609.66,,
Bacharelado,Noturno,1048.0,3,6,,,66007512052863,Engenharia Mecânica,Bauru,SP,MzUwNDAyMDA2MDAz,Faculdade Anhangüera de Bauru,UNIDADE SEDE - Parque Residencial do Castelo,660075,Engenharia Mecânica,589.04,573.42,,
Bacharelado,Noturno,1048.0,2,5,,,66007512050663,Engenharia Civil,Bauru,SP,MzUwNDAyMDA2MDAz,Faculdade Anhangüera de Bauru,UNIDADE SEDE - Parque Residencial do Castelo,660075,Engenharia Civil,599.36,556.12,,
Bacharelado,Noturno,1048.0,5,9,,,32681529173,Direito,Campinas,SP,MzUwNzAzMjA5NTAy,Faculdade Anhangüera de Campinas,FACULDADE ANHANGUERA DE CAMPINAS - UNIDADE I - Jardim Londres,32681,Direito,582.28,548.5,,
Bacharelado,Noturno,1048.0,0,1,,,65971413305123,Engenharia Mecânica,Rio Claro,SP,MzUwNjAyNjQzOTA3,Faculdade Anhanguera de Rio Claro,CAMPUS  - RIO CLARO - CHÁCARA LUZA - Chácara Luza,659714,Engenharia Mecânica,558.8,,,
Bacharelado,Matutino,1047.76,2,2,,,9543600201,Arquitetura e Urbanismo,Goiania,GO,NTIwMzAxMDA4NzA3,Universidade Paulista - UNIP,GOIANIA I - Faz. Botafogo,9543,Arquitetura e Urbanismo,634.66,617.94,,
Bacharelado,Matutino,1047.7,,,,22,104531613048721,Dança,Campinas,SP,MzUwNzAzMjA5NTAy,Faculdade Integrada Metropolitana de Campinas - METROCAMP,CAMPUS CENTRAL - SEDE - Vila Industrial,1045316,Dança,,,494.76,
Bacharelado,Noturno,1047.7,,,,22,104531613048723,Dança,Campinas,SP,MzUwNzAzMjA5NTAy,Faculdade Integrada Metropolitana de Campinas - METROCAMP,CAMPUS CENTRAL - SEDE - Vila Industrial,1045316,Dança,,,450.0,
Bacharelado,Matutino,1047.6,3,2,,,658526216551,Nutrição,Vitoria,ES,MzIwMzAwOTA1MzA5,Centro Universitário Católico de VItória,UNIDADE SEDE - Forte São João,658526,Nutrição,631.34,632.94,,
Bacharelado,Noturno,1047.6,1,1,,,658526216553,Nutrição,Vitoria,ES,MzIwMzAwOTA1MzA5,Centro Universitário Católico de VItória,UNIDADE SEDE - Forte São João,658526,Nutrição,635.3,608.18,,
